week,close,reopen,send_email
1,2017-03-24 11:00:00,2017-03-27 00:00:00,2017-03-23 00:00:00
2,2017-04-07 13:00:00,2017-04-10 00:00:00,2017-04-06 00:00:00
3,2017-05-12 23:59:00,2017-05-15 00:00:00,2017-05-11 00:00:00
4,2017-05-27 23:59:00,2017-05-29 00:00:00,2017-05-26 00:00:00
5,2017-06-29 23:00:00,2017-07-02 00:00:00,2017-06-28 00:00:00
6,2017-07-29 06:00:00,2017-07-31 00:00:00,2017-07-28 00:00:00
7,2017-08-13 07:00:00,2017-08-14 00:00:00,2017-08-12 00:00:00
8,2017-09-29 23:00:00,2017-10-02 00:00:00,2017-09-28 00:00:00
